customer_city,customer_state,orders_late,late_orders_respect_total_%,days_diference_mean,diagnosis,delay_days
quixada,CE,1,11.11,25 days 19:43:56,Retrasos severos: rutas largas o problemas logísticos regionales,25.822175925925926
rio azul,PR,1,11.11,0 days 10:34:35,Retraso leve: problemas típicos de última hora o reparto urbano,0.44068287037037035
ribeiro junqueira,MG,1,11.11,17 days 11:41:13,Retrasos severos: rutas largas o problemas logísticos regionales,17.48695601851852
ribeirao branco,SP,1,11.11,4 days 17:08:58,Retraso moderado: problemas recurrentes pero no críticos,4.714560185185185
ribeirao bonito,SP,1,11.11,59 days 20:56:18,Retrasos severos: rutas largas o problemas logísticos regionales,59.87243055555555
ribeira do pombal,BA,1,11.11,15 days 13:22:48,Retrasos severos: rutas largas o problemas logísticos regionales,15.5575
rianapolis,GO,1,11.11,33 days 00:12:37,Retrasos severos: rutas largas o problemas logísticos regionales,33.00876157407407
riacho de santana,BA,1,11.11,7 days 12:46:55,Retraso moderado: problemas recurrentes pero no críticos,7.532581018518519
riachao do jacuipe,BA,1,11.11,0 days 14:58:06,Retraso leve: problemas típicos de última hora o reparto urbano,0.6236805555555556
resende costa,MG,1,11.11,1 days 13:34:57,Retraso leve: problemas típicos de última hora o reparto urbano,1.5659375
reriutaba,CE,1,11.11,22 days 18:51:55,Retrasos severos: rutas largas o problemas logísticos regionales,22.786053240740742
remanso,BA,1,11.11,11 days 16:29:11,Retrasos severos: rutas largas o problemas logísticos regionales,11.68693287037037
registro,SP,1,11.11,3 days 20:22:32,Retraso moderado: problemas recurrentes pero no críticos,3.8489814814814816
conceicao da feira,BA,1,11.11,55 days 09:42:44,Retrasos severos: rutas largas o problemas logísticos regionales,55.40467592592593
conceicao da barra,ES,1,11.11,0 days 16:13:31,Retraso leve: problemas típicos de última hora o reparto urbano,0.6760532407407407
colonia vitoria,PR,1,11.11,2 days 18:09:07,Retraso leve: problemas típicos de última hora o reparto urbano,2.7563310185185186
colinas,MA,1,11.11,12 days 23:34:25,Retrasos severos: rutas largas o problemas logísticos regionales,12.982233796296295
rio tinto,PB,1,11.11,11 days 19:09:47,Retrasos severos: rutas largas o problemas logísticos regionales,11.798460648148149
rio pomba,MG,1,11.11,3 days 15:43:02,Retraso moderado: problemas recurrentes pero no críticos,3.6548842592592594
rio negrinho,SC,1,11.11,1 days 19:38:50,Retraso leve: problemas típicos de última hora o reparto urbano,1.8186342592592593
rio largo,AL,1,11.11,6 days 20:12:46,Retraso moderado: problemas recurrentes pero no críticos,6.842199074074074
rio grande da serra,SP,1,11.11,2 days 17:42:00,Retraso leve: problemas típicos de última hora o reparto urbano,2.7375
bela vista do maranhao,MA,1,11.11,10 days 00:11:51,Retrasos severos: rutas largas o problemas logísticos regionales,10.008229166666666
beberibe,CE,1,11.11,19 days 00:32:22,Retrasos severos: rutas largas o problemas logísticos regionales,19.022476851851852
batatais,SP,1,11.11,6 days 22:14:51,Retraso moderado: problemas recurrentes pero no críticos,6.9269791666666665
barroso,MG,1,11.11,5 days 19:03:33,Retraso moderado: problemas recurrentes pero no críticos,5.794131944444445
barro,CE,1,11.11,6 days 09:39:52,Retraso moderado: problemas recurrentes pero no críticos,6.402685185185185
